coin,accuracy,roc_auc,threshold,test_rows
ETCUSDT,0.7432,0.8019,0.55,997
BNBUSDT,0.7412,0.812,0.58,997
ADAUSDT,0.7392,0.8018,0.44,997
ZRXUSDT,0.7342,0.802,0.51,997
DASHUSDT,0.7332,0.7975,0.58,997
BTCUSDT,0.7332,0.8049,0.52,997
ZECUSDT,0.7322,0.8018,0.41,997
EOSUSDT,0.7322,0.7949,0.49,997
TRXUSDT,0.7322,0.8002,0.52,997
XMRUSDT,0.7322,0.7942,0.51,997
NEOUSDT,0.7292,0.8141,0.43,997
ETHUSDT,0.7262,0.8005,0.47,997
LTCUSDT,0.7262,0.8012,0.53,997
OMGUSDT,0.7252,0.7998,0.5,997
DOGEUSDT,0.7212,0.7908,0.47,997
XLMUSDT,0.7202,0.7881,0.42,997
BCHUSDT,0.7161,0.7865,0.41,997
IOTAUSDT,0.7161,0.7717,0.51,997
XRPUSDT,0.7131,0.7868,0.47,997
QTUMUSDT,0.7111,0.775,0.56,997
